CourseID,CourseName,CourseType,CourseCredit,CourseDesc
E0606,插花艺术,E,2,Good
E0608,健美操,E,2,Good
E0609,武术,E,2,Good
E0611,篮球裁判,E,2,Good
E0612,排球,E,2,Good
E0618,盆景制作与欣赏,E,2,Good
E0619,干燥花制作原理与技术,E,2,Good
E0621,雕塑艺术欣赏与雕塑技法,E,2,Good
E0622,赏石根艺创作与欣赏,E,2,Good
E0623,风景名胜鉴赏,E,2,Good
E0624,盆栽果树,E,2,Good
E0626,美学基础,E,2,Good
E0628,健身健美操,E,2,Good
E0629,篮球技战术,E,2,Good
E0630,篮球规则与裁判法,E,2,Good
E0631,足球技战术,E,2,Good
E0632,中西造型艺术审美比较,E,2,Good
E0633,足球规则及裁判法,E,2,Good
E0634,定向运动,E,2,Good
E0635,纪录电影摄制与精品赏析,E,2,Good
E0636,体育游戏,E,2,Good
E0637,舞蹈基础,E,2,Good
E0638,经典英文原版电影赏析,E,2,Good
E0639,运动与女性健康,E,2,Good
E0640,器械健美,E,2,Good
E0642,营养与运动营养,E,2,Good
E0643,乒乓球,E,2,Good
E0699,书法(2),E,2,Good
FLJC001,法律基础,A,2,Good
FLJC002,法律基础,A,2,Good
FLJC002a,法律基础,A,2,Good
GCSX002,工程数学,B,5,Good
GDSX1001,高等数学(1),B,4,Good
GDSX2002,高等数学(2),B,4,Good
GGGX002,公共关系学,E,2,Good
GLXL012,管理心理学,E,2,Good
GSG1001,高等数学（工科1）,B,5,Good
GSG1002,高等数学（工科1）,B,5,Good
GSG2002,高等数学（工科2）,B,4,Good
GSJJ002,高等数学,B,4,Good
GZJS011,感测技术,D12,2,Good
GZJSSX011,感测技术实习,D12,1,Good
HGJJ012,宏观经济学,E,2,Good
HTF002,合同法,E,2,Good
INHIN011,Internet 和 Intranet,C,2.5,Good
JGDL007,景观地理学,E,2,Good
JHYL011,交换原理,C,2.5,Good
JSJFZRSX011,计算机辅助软件工程实习,C,1,Good
JSJJ011,计算机应用技术,A,2.5,Good
JSJJK011,计算机接口技术,C,2,Good
JSJTXX011,计算机图形学,D2,2.5,Good
JSJWHSX011,计算机系统维护实习,C,1,Good
JSJWLASX011,计算机网络安全实习,D11,1,Good
JSJWLJ011,计算机网络基础,C,2.5,Good
JSJWLJSX011,计算机网络基础实习,C,1,Good
JSJYL011,计算机原理,C,3,Good
JX001,军训,A,1,Good
KBCQ011,可编程器件,D12,2.5,Good
KDWL011,宽带网络技术,D11,2.5,Good
KJXZ011,科技写作[计科],D2,2,Good
KSHCX011,可视化程序设计,A,3,Good
KSHCYSX004,可视化程序设计实习,C,3,Good
